account_id,account_name,industry,country,plan_tier,current_plan_tier,seats,total_mrr,avg_mrr,account_age_days,subscription_tenure_days,days_since_latest_subscription_start,target_future_churn
A-b20d99,Company_29,HealthTech,IN,Basic,Enterprise,20,7089,1181.5,369,248,4,0
A-45ce7a,Company_31,FinTech,US,Enterprise,Enterprise,16,4248,849.6,435,223,0,0
A-08e34e,Company_32,EdTech,US,Basic,Enterprise,14,10422,1488.857142857143,95,91,2,0
A-8145a0,Company_33,Cybersecurity,AU,Basic,Enterprise,2,12000,1200.0,524,420,21,0
A-bad8c1,Company_34,FinTech,AU,Basic,Enterprise,7,7797,1113.857142857143,579,476,119,0
A-44dc83,Company_35,EdTech,FR,Basic,Enterprise,5,456,152.0,141,105,6,1
A-f446b6,Company_36,DevTools,DE,Pro,Enterprise,5,11392,1265.7777777777778,507,491,22,0
A-a45270,Company_37,HealthTech,US,Enterprise,Enterprise,3,16601,2371.5714285714284,98,80,7,1
A-05f0e5,Company_40,FinTech,US,Basic,Enterprise,32,45082,4508.2,515,477,45,1
A-9077b0,Company_41,HealthTech,US,Basic,Basic,2,38,38.0,36,35,35,0
A-7f8241,Company_42,EdTech,US,Pro,Enterprise,34,32104,2469.5384615384614,566,553,55,0
A-2bc93d,Company_43,HealthTech,US,Basic,Enterprise,14,30413,2764.818181818182,566,439,8,0
A-f3ff05,Company_44,FinTech,IN,Enterprise,Enterprise,2,8973,1495.5,86,60,9,1
A-2d4502,Company_45,FinTech,IN,Basic,Enterprise,7,15481,2580.1666666666665,154,153,5,0
A-6a4e2d,Company_46,EdTech,UK,Pro,Enterprise,9,9708,1078.6666666666667,542,449,17,0
A-eb7c38,Company_47,DevTools,AU,Enterprise,Enterprise,5,29666,2966.6,218,172,4,0
A-3b5cd1,Company_49,FinTech,US,Basic,Enterprise,13,10542,1054.2,384,366,111,0
A-b2225d,Company_50,FinTech,US,Basic,Enterprise,47,15745,1968.125,206,181,13,0
A-94f8c9,Company_51,HealthTech,US,Basic,Enterprise,13,12391,1548.875,185,178,50,0
A-02fac6,Company_52,FinTech,US,Pro,Enterprise,22,20954,2328.222222222222,543,345,8,0
A-c1dfe1,Company_53,DevTools,DE,Pro,Enterprise,26,25296,3613.714285714286,420,288,8,0
A-32728c,Company_54,DevTools,US,Pro,Enterprise,20,4118,588.2857142857143,636,545,13,0
A-4c38bc,Company_55,HealthTech,UK,Basic,Enterprise,36,29520,2683.6363636363635,205,197,37,0
A-1b707d,Company_56,Cybersecurity,US,Enterprise,Enterprise,1,7945,1986.25,444,321,170,0
A-6f8ad2,Company_57,EdTech,IN,Basic,Enterprise,1,20619,2061.9,83,70,3,0
A-4d1e75,Company_58,DevTools,US,Basic,Enterprise,20,13698,4566.0,40,23,13,0
A-9ee962,Company_59,HealthTech,US,Basic,Enterprise,9,9249,1321.2857142857142,580,465,74,1
A-378b99,Company_60,EdTech,UK,Pro,Pro,8,2223,1111.5,29,20,11,1
A-94d3da,Company_61,HealthTech,US,Basic,Enterprise,41,19885,1988.5,516,485,2,0
A-e351e1,Company_62,EdTech,US,Enterprise,Basic,33,627,627.0,4,3,3,1
A-9badbd,Company_63,Cybersecurity,DE,Enterprise,Enterprise,5,13796,1970.857142857143,103,93,10,0
A-7e0a10,Company_64,FinTech,US,Enterprise,Enterprise,46,27186,3020.6666666666665,317,306,68,0
A-526d93,Company_66,HealthTech,FR,Basic,Enterprise,43,29827,4261.0,169,164,4,0
A-f92792,Company_67,FinTech,US,Pro,Enterprise,1,17262,2157.75,88,85,0,0
A-84ebe4,Company_68,FinTech,US,Pro,Enterprise,18,20830,2083.0,568,509,54,0
A-5b4ebb,Company_69,Cybersecurity,UK,Basic,Basic,21,2337,584.25,82,81,8,0
A-9b9fe9,Company_71,EdTech,AU,Basic,Enterprise,5,3690,527.1428571428571,368,350,44,0
A-a8b49c,Company_72,Cybersecurity,UK,Basic,Enterprise,7,6846,684.6,360,352,5,0
A-a1bbb6,Company_74,DevTools,CA,Basic,Enterprise,1,14157,2359.5,544,532,217,0
A-c45b23,Company_75,FinTech,UK,Basic,Enterprise,5,2854,317.1111111111111,297,276,23,0
A-02cd81,Company_76,HealthTech,IN,Basic,Enterprise,44,28644,2387.0,186,186,20,0
A-ee42db,Company_77,EdTech,DE,Enterprise,Enterprise,13,10997,1099.7,524,518,51,1
A-432483,Company_78,Cybersecurity,US,Pro,Enterprise,4,23412,3902.0,602,538,151,0
A-9208f0,Company_79,EdTech,US,Pro,Enterprise,1,3413,487.57142857142856,508,504,52,0
A-98a59a,Company_80,FinTech,UK,Enterprise,Enterprise,56,33712,3745.777777777778,423,394,18,0
A-fe79a5,Company_81,HealthTech,IN,Basic,Enterprise,9,8159,1359.8333333333333,222,212,24,0
A-726cfa,Company_82,DevTools,US,Pro,Enterprise,11,20785,1385.6666666666667,457,443,24,0
A-271f46,Company_84,DevTools,US,Pro,Enterprise,38,9728,1621.3333333333333,599,551,113,0
A-157070,Company_85,FinTech,US,Pro,Enterprise,16,18700,1558.3333333333333,326,293,4,1
A-40a557,Company_86,Cybersecurity,AU,Pro,Enterprise,16,15388,3077.6,302,231,9,0
A-91e948,Company_88,EdTech,AU,Basic,Enterprise,41,13735,2289.1666666666665,610,413,81,0
A-104f1a,Company_89,Cybersecurity,US,Pro,Pro,24,7987,2662.3333333333335,44,28,6,1
A-7988d1,Company_90,Cybersecurity,US,Basic,Enterprise,33,10692,1336.5,285,202,2,1
A-faa28c,Company_91,HealthTech,US,Enterprise,Enterprise,48,46500,3875.0,244,238,12,0
A-f25509,Company_92,EdTech,US,Enterprise,Enterprise,32,12736,4245.333333333333,192,125,78,1
A-3a5ad8,Company_94,HealthTech,US,Enterprise,Enterprise,9,11216,1246.2222222222222,300,287,23,0
A-65a46c,Company_95,HealthTech,US,Pro,Enterprise,1,20960,3493.3333333333335,331,209,51,0
A-8b25f2,Company_96,Cybersecurity,US,Pro,Enterprise,6,8957,1119.625,226,224,0,0
A-adc1f3,Company_98,Cybersecurity,US,Pro,Enterprise,2,2786,928.6666666666666,56,51,12,0
A-503d5a,Company_99,FinTech,US,Enterprise,Enterprise,4,5754,639.3333333333334,345,345,94,0
A-186a44,Company_101,HealthTech,US,Enterprise,Enterprise,20,7276,1039.4285714285713,420,404,51,0
A-e888d1,Company_102,Cybersecurity,US,Pro,Enterprise,14,5162,737.4285714285714,552,508,14,1
A-69fad4,Company_103,FinTech,UK,Basic,Enterprise,6,3678,735.6,543,434,190,0
A-9289f6,Company_104,EdTech,US,Enterprise,Enterprise,1,11347,1621.0,488,450,15,0
A-f19409,Company_105,DevTools,US,Basic,Enterprise,23,27767,3085.222222222222,564,527,9,0
A-2e3bad,Company_108,FinTech,CA,Pro,Enterprise,61,40565,6760.833333333333,414,408,1,0
A-484819,Company_109,HealthTech,US,Pro,Enterprise,18,11506,2301.2,587,585,61,0
A-425e76,Company_110,DevTools,UK,Enterprise,Enterprise,8,10743,1074.3,502,467,48,1
A-e83938,Company_111,DevTools,UK,Pro,Enterprise,2,5084,847.3333333333334,314,235,75,1
A-ad296b,Company_112,DevTools,AU,Pro,Enterprise,38,15846,3961.5,77,69,12,0
A-e51ec7,Company_113,FinTech,CA,Enterprise,Enterprise,2,5569,1113.8,373,308,14,0
A-0aaf6e,Company_114,FinTech,US,Enterprise,Pro,3,2269,567.25,142,106,43,0
A-e61e98,Company_115,FinTech,US,Enterprise,Enterprise,19,13484,1498.2222222222222,346,330,29,1
A-92a333,Company_116,FinTech,US,Enterprise,Enterprise,9,10659,1776.5,556,423,88,0
A-95b24a,Company_117,FinTech,US,Pro,Enterprise,38,25034,2503.4,482,444,18,0
A-42e5e1,Company_118,DevTools,US,Pro,Enterprise,1,68,22.666666666666668,83,71,32,0
A-7d514c,Company_119,HealthTech,DE,Enterprise,Enterprise,17,19862,2837.4285714285716,240,230,22,0
A-65aeb5,Company_120,DevTools,US,Pro,Enterprise,9,32430,3243.0,249,241,0,0
A-e2cd1b,Company_121,DevTools,US,Enterprise,Enterprise,15,6761,1352.2,239,221,62,0
A-180abf,Company_122,DevTools,US,Pro,Enterprise,64,17088,5696.0,413,224,82,0
A-f17767,Company_123,DevTools,US,Enterprise,Enterprise,1,14179,1289.0,609,558,40,0
A-5a184f,Company_124,DevTools,DE,Enterprise,Enterprise,1,19980,2497.5,469,396,169,0
A-7df7a7,Company_125,DevTools,US,Basic,Enterprise,7,18475,1679.5454545454545,611,603,128,0
A-52dd88,Company_127,Cybersecurity,US,Pro,Enterprise,23,14590,1621.111111111111,587,554,21,0
A-bece89,Company_128,Cybersecurity,IN,Pro,Enterprise,26,17388,3477.6,304,256,133,0
A-029f69,Company_129,Cybersecurity,CA,Basic,Enterprise,3,10955,1825.8333333333333,207,144,16,1
A-5c046d,Company_130,EdTech,FR,Basic,Enterprise,93,24831,8277.0,86,69,23,0
A-ae052e,Company_132,FinTech,CA,Basic,Pro,39,3822,1274.0,385,252,28,1
A-9f9299,Company_133,FinTech,US,Enterprise,Enterprise,28,25452,3181.5,394,308,59,1
A-96e141,Company_134,DevTools,UK,Basic,Enterprise,14,15183,2530.5,415,352,40,0
A-313be3,Company_136,EdTech,US,Enterprise,Enterprise,47,16703,2087.875,320,310,1,0
A-bbc346,Company_138,FinTech,US,Enterprise,Enterprise,19,9492,1582.0,32,30,0,1
A-c16101,Company_139,EdTech,IN,Basic,Enterprise,7,4826,1206.5,24,24,7,1
A-50f3f7,Company_140,HealthTech,US,Basic,Enterprise,31,17178,1717.8,283,269,68,0
A-7da956,Company_141,Cybersecurity,US,Pro,Enterprise,13,4164,594.8571428571429,120,107,4,0
A-019782,Company_142,DevTools,FR,Enterprise,Enterprise,11,5169,738.4285714285714,530,480,97,0
A-df10db,Company_143,DevTools,US,Enterprise,Enterprise,2,9342,934.2,482,402,22,0
A-3932db,Company_144,HealthTech,CA,Pro,Enterprise,19,5358,1071.6,362,295,9,0
A-4f18f0,Company_145,DevTools,CA,Pro,Enterprise,24,12835,1604.375,162,158,25,1
A-4c6f11,Company_146,FinTech,CA,Pro,Enterprise,24,7586,1517.2,308,184,60,1
A-8ae05d,Company_147,FinTech,IN,Enterprise,Basic,86,4902,1225.5,177,121,42,0
A-eafc6e,Company_149,DevTools,US,Pro,Enterprise,27,16229,2704.8333333333335,452,419,2,1
A-37f969,Company_150,HealthTech,IN,Enterprise,Enterprise,30,22959,2869.875,352,342,18,1
A-10b8f2,Company_151,HealthTech,DE,Basic,Enterprise,47,28367,2578.818181818182,628,603,46,0
A-439b2f,Company_152,DevTools,US,Enterprise,Enterprise,1,522,130.5,222,205,89,1
A-544d0a,Company_153,DevTools,US,Basic,Enterprise,2,17762,2960.3333333333335,151,129,6,0
A-ba6516,Company_154,FinTech,US,Pro,Enterprise,27,21170,2117.0,337,264,16,0
A-038089,Company_156,DevTools,FR,Pro,Pro,5,2009,1004.5,286,95,69,1
A-afa505,Company_157,DevTools,US,Basic,Enterprise,70,52080,6510.0,278,266,47,0
A-d5a319,Company_158,FinTech,US,Enterprise,Enterprise,15,25907,2590.7,515,461,1,0
A-f97b9a,Company_159,FinTech,US,Pro,Enterprise,16,20403,2550.375,449,386,39,0
A-2f6a32,Company_160,HealthTech,US,Basic,Basic,19,361,180.5,35,14,5,0
A-856b1e,Company_161,FinTech,US,Basic,Pro,19,6321,1264.2,335,333,240,0
A-d27f50,Company_163,Cybersecurity,UK,Enterprise,Enterprise,44,13923,3480.75,72,70,35,0
A-e36807,Company_164,EdTech,AU,Pro,Enterprise,6,4933,986.6,136,121,5,0
A-ff79f2,Company_165,DevTools,US,Basic,Enterprise,8,5295,1765.0,158,124,14,0
A-5b1bcd,Company_166,DevTools,US,Pro,Enterprise,73,111617,9301.416666666666,380,373,6,0
A-71615e,Company_167,EdTech,US,Basic,Enterprise,15,26067,3723.8571428571427,135,95,9,0
A-794a0b,Company_168,HealthTech,DE,Basic,Enterprise,23,10575,1510.7142857142858,486,420,87,0
A-86902e,Company_169,HealthTech,IN,Enterprise,Enterprise,34,28629,4089.8571428571427,517,428,100,1
A-0532a9,Company_170,FinTech,IN,Pro,Basic,19,361,361.0,5,4,4,1
A-9779ad,Company_171,Cybersecurity,AU,Pro,Enterprise,40,35760,5108.571428571428,185,176,13,0
A-f45426,Company_172,HealthTech,US,Basic,Enterprise,9,4899,979.8,56,56,7,1
A-fa3095,Company_174,FinTech,US,Basic,Enterprise,70,61810,7726.25,393,378,84,0
A-ad64c6,Company_175,DevTools,UK,Pro,Enterprise,12,9136,1827.2,220,207,22,0
A-39b19f,Company_176,FinTech,US,Enterprise,Enterprise,1,11655,1665.0,605,585,26,0
A-56962b,Company_177,EdTech,UK,Enterprise,Pro,163,22168,4433.6,174,138,7,0
A-e60f9d,Company_178,FinTech,US,Basic,Pro,29,1421,1421.0,35,13,13,0
A-158f4e,Company_180,FinTech,IN,Enterprise,Enterprise,61,27572,3063.5555555555557,577,486,27,1
A-5b051a,Company_181,Cybersecurity,US,Enterprise,Basic,22,418,418.0,56,12,12,0
A-296d7c,Company_182,DevTools,DE,Enterprise,Pro,2,1297,259.4,327,244,44,1
A-1619f8,Company_183,DevTools,US,Pro,Enterprise,29,11496,3832.0,133,113,71,0
A-a1b80b,Company_184,HealthTech,US,Basic,Enterprise,16,34589,2470.6428571428573,308,203,11,0
A-702032,Company_186,HealthTech,US,Pro,Enterprise,28,5572,2786.0,363,159,85,0
A-7a0d69,Company_187,DevTools,DE,Enterprise,Pro,4,1330,190.0,107,71,2,1
A-22d9d2,Company_188,DevTools,FR,Pro,Enterprise,8,6252,781.5,192,187,52,1
A-b9eed8,Company_189,Cybersecurity,US,Basic,Enterprise,11,5547,792.4285714285714,220,198,34,0
A-dfbd31,Company_190,DevTools,UK,Enterprise,Enterprise,14,7134,792.6666666666666,301,295,13,1
A-8e47ca,Company_191,HealthTech,US,Pro,Enterprise,19,23145,2893.125,228,216,38,0
A-4437e4,Company_192,Cybersecurity,US,Enterprise,Enterprise,3,15869,1322.4166666666667,380,318,31,0
A-779e4e,Company_193,HealthTech,US,Basic,Enterprise,5,27150,3016.6666666666665,637,630,12,0
A-53f4e3,Company_194,Cybersecurity,UK,Enterprise,Enterprise,13,5329,1776.3333333333333,108,105,9,0
A-692f18,Company_195,EdTech,US,Basic,Enterprise,5,22798,1628.4285714285713,186,185,3,1
A-13466a,Company_196,DevTools,AU,Basic,Enterprise,2,8927,2231.75,344,232,10,0
A-1986ca,Company_197,HealthTech,IN,Pro,Enterprise,20,27661,3951.5714285714284,609,452,6,0
A-0cc442,Company_198,EdTech,US,Basic,Enterprise,45,31517,4502.428571428572,74,65,5,1
A-c608c8,Company_199,DevTools,DE,Pro,Enterprise,3,6296,1049.3333333333333,522,458,33,0
A-3be56b,Company_200,HealthTech,IN,Pro,Enterprise,3,14945,1660.5555555555557,340,289,38,0
A-354f12,Company_201,FinTech,US,Pro,Enterprise,1,6965,3482.5,155,125,60,0
A-68f37c,Company_202,HealthTech,US,Basic,Enterprise,4,30678,3408.6666666666665,443,434,60,0
A-aa9511,Company_203,DevTools,US,Pro,Enterprise,23,38842,3531.090909090909,356,355,7,0
A-af0cd2,Company_204,Cybersecurity,IN,Enterprise,Pro,19,5377,597.4444444444445,636,627,3,0
A-c222ab,Company_206,Cybersecurity,US,Pro,Enterprise,32,9504,3168.0,143,37,11,1
A-34d880,Company_207,Cybersecurity,AU,Enterprise,Enterprise,4,18394,3065.6666666666665,172,165,70,1
A-508199,Company_208,FinTech,AU,Basic,Enterprise,19,8436,2109.0,246,244,157,0
A-f03140,Company_209,DevTools,IN,Pro,Enterprise,27,15702,1962.75,313,294,75,1
A-fa2041,Company_211,HealthTech,US,Pro,Enterprise,15,10766,1345.75,124,111,42,0
A-de58ca,Company_212,HealthTech,DE,Enterprise,Enterprise,15,23170,2317.0,536,529,29,0
A-05d3b3,Company_213,DevTools,AU,Basic,Enterprise,9,8373,761.1818181818181,491,446,4,0
A-249769,Company_214,Cybersecurity,US,Enterprise,Enterprise,4,14727,1636.3333333333333,158,114,6,1
A-e43bf7,Company_215,Cybersecurity,AU,Pro,Enterprise,44,37910,6318.333333333333,556,498,64,0
A-eb2fdc,Company_216,DevTools,AU,Enterprise,Enterprise,31,20555,2936.4285714285716,314,219,85,0
A-e1462e,Company_217,FinTech,UK,Basic,Enterprise,15,11745,2349.0,568,546,85,1
A-cab532,Company_218,DevTools,FR,Pro,Enterprise,11,14243,1294.8181818181818,546,528,69,0
A-9123ac,Company_219,Cybersecurity,DE,Pro,Enterprise,9,9179,1835.8,468,341,115,1
A-6e08f3,Company_220,Cybersecurity,US,Basic,Enterprise,8,12371,1546.375,581,433,50,0
A-d922bf,Company_221,HealthTech,US,Basic,Enterprise,5,15323,2553.8333333333335,388,337,29,1
A-8ed5dd,Company_222,EdTech,UK,Enterprise,Enterprise,5,11426,1142.6,459,419,23,1
A-3c1a3f,Company_224,DevTools,UK,Pro,Enterprise,1,7773,971.625,401,396,0,0
A-b2af2e,Company_227,Cybersecurity,UK,Enterprise,Pro,5,1091,545.5,37,35,34,1
A-9bfc9f,Company_228,DevTools,CA,Pro,Pro,53,12745,1593.125,382,350,62,0
A-4ae22a,Company_229,EdTech,US,Pro,Enterprise,6,7592,1898.0,144,125,6,0
A-fda07f,Company_230,Cybersecurity,FR,Basic,Enterprise,7,7769,1942.25,50,37,8,0
A-977ca0,Company_232,HealthTech,IN,Basic,Enterprise,6,29255,2089.6428571428573,588,588,59,0
A-e89151,Company_234,FinTech,UK,Pro,Enterprise,8,9867,1644.5,382,321,130,0
A-40906c,Company_235,EdTech,US,Basic,Enterprise,92,30820,4402.857142857143,187,125,2,0
A-81edc3,Company_236,Cybersecurity,IN,Basic,Enterprise,5,14926,1658.4444444444443,336,328,28,1
A-328bd0,Company_237,HealthTech,AU,Enterprise,Enterprise,18,12844,1284.4,503,417,41,0
A-b3fe05,Company_238,Cybersecurity,CA,Pro,Enterprise,8,13333,4444.333333333333,125,116,27,0
A-09540c,Company_239,Cybersecurity,CA,Basic,Enterprise,67,17152,4288.0,336,172,57,0
A-e693b6,Company_240,FinTech,AU,Enterprise,Enterprise,55,19470,2163.3333333333335,494,426,4,1
A-2446e3,Company_241,EdTech,IN,Pro,Enterprise,27,13392,2678.4,264,253,14,0
A-241e75,Company_242,EdTech,US,Enterprise,Pro,3,3499,874.75,89,81,1,1
A-922109,Company_243,Cybersecurity,US,Pro,Enterprise,3,12516,1564.5,248,191,3,1
A-ff3c73,Company_244,HealthTech,AU,Pro,Enterprise,21,3936,562.2857142857143,613,543,7,0
A-8b0451,Company_245,FinTech,UK,Enterprise,Basic,41,779,779.0,14,9,9,1
A-331424,Company_246,DevTools,US,Basic,Enterprise,11,6567,1641.75,329,270,33,0
A-51ec1b,Company_247,DevTools,US,Enterprise,Enterprise,7,5184,1728.0,327,233,56,0
A-bcf664,Company_248,DevTools,US,Pro,Enterprise,5,7644,764.4,500,472,28,0
A-90a8c8,Company_249,FinTech,AU,Pro,Enterprise,15,21667,5416.75,37,36,9,0
A-dbc825,Company_252,EdTech,FR,Enterprise,Enterprise,19,26595,2417.7272727272725,267,255,62,0
A-7c4956,Company_254,DevTools,US,Enterprise,Enterprise,5,2801,560.2,513,483,47,0
A-3ce5b8,Company_256,FinTech,IN,Basic,Enterprise,8,16650,2081.25,389,290,0,0
A-bd4708,Company_257,FinTech,US,Pro,Enterprise,37,17242,3448.4,71,68,15,0
A-993085,Company_258,HealthTech,US,Basic,Enterprise,31,40098,2864.1428571428573,487,422,7,0
A-92a3af,Company_259,Cybersecurity,IN,Enterprise,Enterprise,25,21350,3050.0,85,69,11,0
A-151c9a,Company_260,FinTech,US,Enterprise,Enterprise,23,14250,2850.0,612,511,96,0
A-474ad4,Company_261,EdTech,US,Basic,Enterprise,8,5757,523.3636363636364,307,301,17,0
A-4ef964,Company_262,HealthTech,US,Pro,Enterprise,17,12584,1797.7142857142858,207,182,3,0
A-fd9422,Company_263,Cybersecurity,US,Pro,Enterprise,58,12644,3161.0,179,145,36,0
A-560d27,Company_266,DevTools,US,Pro,Enterprise,23,31176,7794.0,148,122,61,0
A-2789e3,Company_268,FinTech,US,Enterprise,Basic,11,627,627.0,16,12,12,0
A-902ef7,Company_270,HealthTech,US,Enterprise,Enterprise,83,20584,10292.0,27,25,0,0
A-20736a,Company_271,EdTech,IN,Enterprise,Enterprise,50,14850,4950.0,198,144,27,0
A-cea1f0,Company_273,FinTech,US,Pro,Pro,8,1437,359.25,176,121,55,0
A-ef84cf,Company_274,EdTech,US,Enterprise,Enterprise,8,7355,1838.75,213,202,53,1
A-d49cc5,Company_275,Cybersecurity,FR,Basic,Pro,50,8700,1450.0,377,230,2,0
A-67be94,Company_276,EdTech,US,Enterprise,Enterprise,26,13293,2658.6,545,398,102,0
A-4e960a,Company_277,FinTech,US,Enterprise,Enterprise,12,23126,2312.6,257,236,7,0
A-c37cab,Company_278,Cybersecurity,UK,Pro,Enterprise,13,7336,1834.0,63,62,3,1
A-443b7c,Company_280,Cybersecurity,US,Enterprise,Enterprise,1,14859,4953.0,24,14,0,0
A-1f7acb,Company_281,FinTech,UK,Basic,Enterprise,64,46912,5864.0,421,395,8,0
A-f51f16,Company_282,HealthTech,US,Enterprise,Enterprise,1,13261,1894.4285714285713,280,225,34,1
A-5a3eb9,Company_283,DevTools,CA,Enterprise,Enterprise,18,15430,1543.0,407,376,35,0
A-417d2f,Company_285,Cybersecurity,IN,Pro,Enterprise,4,13969,1396.9,454,454,9,0
A-e98302,Company_286,EdTech,US,Enterprise,Enterprise,16,9421,2355.25,279,253,21,0
A-bcf87c,Company_288,FinTech,US,Pro,Enterprise,10,3313,1104.3333333333333,95,70,34,0
A-54ecc2,Company_289,Cybersecurity,US,Enterprise,Enterprise,4,9601,1066.7777777777778,477,411,3,1
A-625d0b,Company_290,EdTech,AU,Basic,Basic,9,0,0.0,28,5,5,0
A-fce879,Company_291,EdTech,UK,Pro,Basic,10,627,627.0,6,2,2,1
A-6da850,Company_293,FinTech,IN,Pro,Enterprise,5,11559,1050.8181818181818,359,358,29,1
A-342303,Company_294,EdTech,US,Pro,Pro,1,1695,847.5,198,150,82,0
A-e7a1e2,Company_295,Cybersecurity,US,Enterprise,Enterprise,3,5174,2587.0,99,73,52,1
A-f1f639,Company_296,EdTech,US,Basic,Enterprise,2,2919,729.75,582,455,11,0
A-a865bd,Company_297,Cybersecurity,US,Pro,Enterprise,38,21022,4204.4,377,257,11,0
A-4e631b,Company_298,FinTech,US,Enterprise,Enterprise,22,13174,3293.5,198,196,39,0
A-7f6b86,Company_299,HealthTech,US,Basic,Enterprise,45,16342,2723.6666666666665,403,397,14,0
A-8adedc,Company_300,EdTech,US,Basic,Enterprise,4,16985,1306.5384615384614,232,198,23,0
A-2edab2,Company_301,HealthTech,US,Enterprise,Enterprise,17,6851,978.7142857142857,318,313,68,0
A-a6d261,Company_303,FinTech,CA,Pro,Enterprise,9,37944,2918.769230769231,306,292,10,0
A-202b67,Company_305,HealthTech,US,Pro,Enterprise,11,12397,1549.625,192,187,26,0
A-00bed1,Company_306,Cybersecurity,US,Basic,Enterprise,28,33506,3350.6,321,319,29,0
A-ffc04f,Company_307,EdTech,US,Pro,Enterprise,13,12630,1578.75,116,114,11,0
A-65c341,Company_308,FinTech,US,Pro,Enterprise,11,18088,6029.333333333333,279,228,9,1
A-dcc2f0,Company_309,FinTech,UK,Basic,Enterprise,15,12462,1246.2,436,364,14,0
A-3d957b,Company_311,HealthTech,UK,Pro,Enterprise,14,9066,1813.2,179,77,31,0
A-883b7d,Company_313,Cybersecurity,IN,Basic,Enterprise,17,28515,2592.2727272727275,186,162,39,0
A-dcc3f1,Company_314,HealthTech,US,Pro,Enterprise,21,7770,1554.0,278,278,56,1
A-c62e55,Company_315,EdTech,US,Basic,Enterprise,1,9746,1392.2857142857142,600,320,148,0
A-e40f45,Company_317,HealthTech,US,Pro,Enterprise,21,11426,1904.3333333333333,165,138,36,1
A-96215d,Company_318,FinTech,US,Enterprise,Enterprise,10,8793,2198.25,53,44,0,0
A-2b9d3e,Company_319,EdTech,US,Enterprise,Enterprise,1,2637,439.5,484,390,32,0
A-b7724f,Company_320,HealthTech,UK,Basic,Pro,1,1322,220.33333333333334,552,485,10,0
A-eb1312,Company_322,FinTech,US,Pro,Pro,25,1225,1225.0,14,12,12,1
A-df1e44,Company_323,Cybersecurity,UK,Enterprise,Enterprise,12,9267,1158.375,220,206,22,1
A-a8d89d,Company_326,EdTech,US,Pro,Enterprise,13,23425,2342.5,297,293,1,0
A-600734,Company_327,DevTools,US,Pro,Enterprise,29,13526,1502.888888888889,321,261,25,0
A-86fc1d,Company_328,DevTools,UK,Basic,Enterprise,26,8316,4158.0,66,53,45,0
A-acb7f7,Company_330,EdTech,US,Basic,Enterprise,32,31358,3484.222222222222,268,267,30,0
A-712f1c,Company_331,DevTools,US,Basic,Enterprise,17,30587,3823.375,289,271,138,1
A-3793ee,Company_332,Cybersecurity,CA,Enterprise,Enterprise,49,16954,2825.6666666666665,559,315,70,0
A-9a532a,Company_333,HealthTech,US,Enterprise,Enterprise,11,8756,2918.6666666666665,86,33,2,0
A-2ebb4b,Company_334,HealthTech,US,Basic,Enterprise,41,26670,3333.75,504,484,120,0
